Player_number,Age,Years,Value,Ave_Salary,Max Value,Year,Year_1,Year _2,VORP_0
249,30.7,2,10000000,5000000,10000000,2021,2020,2019,0.1
250,23.6,1,1669178,1669178,1669178,2021,2020,2019,1
251,36.1,1,2641691,2641691,2641691,2021,2020,2019,0.9
252,25.8,2,5125000,2562500,5125000,2021,2020,2019,0.2
253,23.9,1,1669178,1669178,1669178,2021,2020,2019,0
254,41.2,1,2641691,2641691,2641691,2021,2020,2019,0.4
255,29.2,1,2389641,2389641,2389641,2021,2020,2019,0
256,33.7,1,2641691,2641691,2641691,2021,2020,2019,-0.2
257,30.6,2,3000000,1500000,3000000,2021,2020,2019,1.9
258,27.2,3,7330743,2443581,7330743,2021,2020,2019,0.1
259,23.7,3,22050000,7350000,22050000,2021,2020,2019,0.1
260,25.8,1,1968175,1968175,1968175,2022 ,2021 ,2020 ,0.2
261,25,3,11000000,3666667,11000000,2022 ,2021 ,2020 ,2
262,28.8,2,6560000,3280000,6560000,2022 ,2021 ,2020 ,1.3
263,38.6,1,2905851,2905851,2905851,2022 ,2021 ,2020 ,0.4
264,23,4,100000000,25000000,100000000,2022 ,2021 ,2020 ,-0.2
265,29.7,2,3833328,1916664,3833328,2022 ,2021 ,2020 ,-0.3
266,24.7,1,1836090,1836090,1836090,2022 ,2021 ,2020 ,0.3
267,29.9,1,2905851,2905851,2905851,2022 ,2021 ,2020 ,1.1
268,29.8,1,2905851,2905851,2905851,2022 ,2021 ,2020 ,0.3
269,33.5,1,2905851,2905851,2905851,2022 ,2021 ,2020 ,0.5
270,27.3,4,48578208,12144552,48578208,2022 ,2021 ,2020 ,-0.8
271,22.6,2,4400000,2200000,4400000,2022 ,2021 ,2020 ,1.3
272,29,5,251019650,50203930,251019650,2022 ,2021 ,2020 ,0.3
273,2022.8,1,1836090,1836090,1836090,2022 ,2021 ,2020 ,0
274,25.8,2,13281950,6640975,13281950,2022 ,2021 ,2020 ,0.1
275,28.9,1,2298385,2298385,2298385,2022 ,2021 ,2020 ,0
276,26.8,3,20408850,6802950,20408850,2022 ,2021 ,2020 ,-0.1
277,29.4,3,35250000,11750000,35250000,2022 ,2021 ,2020 ,0.8
278,26.8,1,1968175,1968175,1968175,2022 ,2021 ,2020 ,0.1
279,22.1,1,1836090,1836090,1836090,2022 ,2021 ,2020 ,-0.4
280,26.8,4,31360000,7840000,31360000,2022 ,2021 ,2020 ,0.2
281,23.6,4,70950000,17737500,72950000,2022 ,2021 ,2020 ,0.3
282,27,2,4885050,2442525,4885050,2022 ,2021 ,2020 ,1
283,29.7,1,2133278,2133278,2133278,2022 ,2021 ,2020 ,0
284,33.9,2,13281950,6640975,13281950,2022 ,2021 ,2020 ,2.3
285,29,2,8415250,4207625,8415250,2022 ,2021 ,2020 ,0.9
286,21.6,1,1637966,1637966,1637966,2022 ,2021 ,2020 ,0
287,27,2,3968718,1984359,3968718,2022 ,2021 ,2020 ,-0.3
288,23.9,4,132929128,33232282,132929128,2022 ,2021 ,2020 ,0.2
289,33.9,1,2905851,2905851,2905851,2022 ,2021 ,2020 ,1.1
290,30.2,2,16000000,8000000,16000000,2022 ,2021 ,2020 ,-0.7
291,29,1,2641682,2641682,2641682,2022 ,2021 ,2020 ,0.5
292,25.3,2,6560000,3280000,6560000,2022 ,2021 ,2020 ,-0.2
293,25.8,1,1902133,1902133,1902133,2022 ,2021 ,2020 ,0.1
294,32.8,2,9024000,4512000,9024000,2022 ,2021 ,2020 ,2.6
295,26.3,2,4546582,2273291,4546582,2022 ,2021 ,2020 ,0
296,25.4,2,9225000,4612500,9225000,2022 ,2021 ,2020 ,0.1
297,25.4,1,1968175,1968175,1968175,2022 ,2021 ,2020 ,0.2
298,24.6,1,1836090,1836090,1836090,2022 ,2021 ,2020 ,1.1
299,31.5,1,1836090,1836090,1836090,2022 ,2021 ,2020 ,0.2
300,24.3,1,2133278,2133278,2133278,2022 ,2021 ,2020 ,0.3
301,29.2,1,2463490,2463490,2463490,2022 ,2021 ,2020 ,-0.1
302,29.1,1,1637966,1637966,1637966,2022 ,2021 ,2020 ,0.2
303,29.6,3,26145000,8715000,26145000,2022 ,2021 ,2020 ,2.4
304,36.2,1,2905851,2905851,2905851,2022 ,2021 ,2020 ,0
305,32.5,1,2641682,2641682,2641682,2022 ,2021 ,2020 ,2.2
306,24.2,2,16000000,8000000,18100000,2022 ,2021 ,2020 ,0.6
307,26.7,3,20630434,6876811,22130434,2022 ,2021 ,2020 ,0
308,28.5,1,2298385,2298385,2298385,2022 ,2021 ,2020 ,0.5
309,25.8,4,104000000,26000000,104000000,2022 ,2021 ,2020 ,-0.2
310,22.2,3,15131319,5043773,15131319,2022 ,2021 ,2020 ,0.3
311,32.9,2,68640000,34320000,68640000,2022 ,2021 ,2020 ,2.2
312,24.7,1,1637966,1637966,1637966,2022 ,2021 ,2020 ,1.4
313,32.1,1,2628597,2628597,2628597,2022 ,2021 ,2020 ,1.5
314,34.4,3,17202840,5734280,17202840,2022 ,2021 ,2020 ,0.7
315,22.1,1,1836090,1836090,1836090,2022 ,2021 ,2020 ,0.5
316,23.7,3,5658206,1886069,5658206,2022 ,2021 ,2020 ,0.7
317,26.8,2,4339943,2169972,4339943,2022 ,2021 ,2020 ,0.2
318,34.8,1,6479000,6479000,6479000,2022 ,2021 ,2020 ,0.1
319,2022.7,2,4375000,2187500,4375000,2022 ,2021 ,2020 ,0
320,31.8,2,13281950,6640975,13281950,2022 ,2021 ,2020 ,0
321,24,2,5800000,2900000,6200000,2022 ,2021 ,2020 ,0.2
322,25.5,1,2133278,2133278,2133278,2022 ,2021 ,2020 ,0.2
323,23.8,1,1968175,1968175,1968175,2022 ,2021 ,2020 ,-0.1
324,29.2,1,1902133,1902133,1902133,2022 ,2021 ,2020 ,-0.1
325,26.8,1,2298385,2298385,2298385,2022 ,2021 ,2020 ,0.2
326,21,2,3565862,1782931,3565862,2022 ,2021 ,2020 ,-0.1
327,27.8,4,70000000,17500000,70000000,2022 ,2021 ,2020 ,0
328,21.8,2,3565862,1782931,3565862,2022 ,2021 ,2020 ,-0.5
329,22.9,2,6000000,3000000,6000000,2022 ,2021 ,2020 ,0.5
330,26.4,3,22500000,7500000,25500000,2022 ,2021 ,2020 ,0
331,28.8,2,18000000,9000000,18000000,2022 ,2021 ,2020 ,0
332,23.3,2,3968718,1984359,3968718,2022 ,2021 ,2020 ,0
333,24.2,1,1637966,1637966,1637966,2022 ,2021 ,2020 ,-0.8
334,23.5,1,6479000,6479000,6479000,2022 ,2021 ,2020 ,0.5
