,PLAYER,,Real Salary,Year
347,Keldon Johnson,"$2,145,720","$2,340,117",2022
348,Payton Pritchard,"$2,137,440","$2,331,086",2022
349,Jahlil Okafor,"$2,130,023","$2,322,997",2022
350,Bones Hyland,"$2,096,880","$2,286,852",2022
351,Raul Neto,"$2,089,448","$2,278,746",2022
351,Frank Kaminsky,"$2,089,448","$2,278,746",2022
351,Nemanja Bjelica,"$2,089,448","$2,278,746",2022
354,Udoka Azubuike,"$2,075,880","$2,263,949",2022
355,Jaden McDaniels,"$2,063,280","$2,250,208",2022
356,Malachi Flynn,"$2,048,040","$2,233,587",2022
357,DeMarcus Cousins,"$2,038,942","$2,223,664",2022
358,Cam Thomas,"$2,036,280","$2,220,762",2022
359,Desmond Bane,"$2,033,160","$2,217,359",2022
360,Jaden Springer,"$2,023,680","$2,207,020",2022
361,Day'Ron Sharpe,"$2,009,160","$2,191,185",2022
362,Abdel Nader,"$2,000,000","$2,181,195",2022
362,Kenrich Williams,"$2,000,000","$2,181,195",2022
362,Theo Maledon,"$2,000,000","$2,181,195",2022
362,Jeremiah Robinson-Earl,"$2,000,000","$2,181,195",2022
362,Jordan McLaughlin,"$2,000,000","$2,181,195",2022
362,Garrison Mathews,"$2,000,000","$2,181,195",2022
368,Santiago Aldama,"$1,994,520","$2,175,218",2022
369,Damian Jones,"$1,977,011","$2,156,123",2022
370,Wesley Matthews,"$1,958,495","$2,135,929",2022
371,Rodney McGruder,"$1,939,350","$2,115,050",2022
371,Timothe Luwawu,"$1,939,350","$2,115,050",2022
373,Moses Brown,"$1,933,909","$2,109,116",2022
374,Wesley Iwundu,"$1,926,834","$2,101,400",2022
375,Jose Alvarado,"$1,925,406","$2,099,843",2022
376,PJ Dozier,"$1,910,860","$2,083,979",2022
376,Damion Lee,"$1,910,860","$2,083,979",2022
378,Killian Tillie,"$1,901,625","$2,073,907",2022
379,Tyrell Terry,"$1,869,438","$2,038,804",2022
380,Larry Sanders,"$1,865,546","$2,034,559",2022
381,Carsen Edwards,"$1,859,365","$2,027,818",2022
382,Shake Milton,"$1,846,738","$2,014,047",2022
383,Mitchell Robinson,"$1,802,057","$1,965,319",2022
383,Jalen Brunson,"$1,802,057","$1,965,319",2022
385,Dennis Smith,"$1,789,256","$1,951,358",2022
385,Malik Monk,"$1,789,256","$1,951,358",2022
385,Semi Ojeleye,"$1,789,256","$1,951,358",2022
385,Frank Ntilikina,"$1,789,256","$1,951,358",2022
385,Tony Bradley,"$1,789,256","$1,951,358",2022
390,Didi Louzada,"$1,786,878","$1,948,764",2022
391,Daniel Gafford,"$1,782,621","$1,944,122",2022
391,Eric Paschall,"$1,782,621","$1,944,122",2022
391,KZ Okpala,"$1,782,621","$1,944,122",2022
391,Luguentz Dort,"$1,782,621","$1,944,122",2022
391,Isaiah Roby,"$1,782,621","$1,944,122",2022
391,Naz Reid,"$1,782,621","$1,944,122",2022
391,Jaylen Nowell,"$1,782,621","$1,944,122",2022
391,Terance Mann,"$1,782,621","$1,944,122",2022
