Player,Pos,Age,Type,FROM,TO,Years,Value,Ave_Salary,Max Value,Year,Year_1,Year _2,Count Records 0,Count Records 1,Count Records 2,VORP_0,VORP_1,VORP_2,MP_0,MP_1,MP_2
DaQuan Jeffries,SG,23.5,RFA,SAC,SAC,1,1445697,1445697,1445697,2020,2019,2018,0 ,0 ,,0,0,,,,
Dario Saric,PF,26.6,RFA,PHX,PHX,3,27000000,9000000,27000000,2020,2019,2018,1 ,1 ,,-0.1,1,,,,
Davis Bertans,PF,28.0,UFA,WAS,WAS,5,80000000,16000000,80000000,2020,2019,2018,1 ,1 ,,0,0.6,,,,
De'Anthony Melton,SG,22.4,RFA,MEM,MEM,4,34627688,8656922,34627688,2020,2019,2018,1 ,1 ,,0.2,0,,,,
DeAndre' Bembry,SF,26.3,UFA,ATL,TOR,2,3714156,1857078,3714156,2020,2019,2018,0 ,1 ,,0,-0.3,,,,
Derrick Favors,C,29.3,UFA,NOP,UTH,3,29162700,9720900,29162700,2020,2019,2018,1 ,1 ,,0.1,-0.1,,,,
Derrick Jones Jr.,SF,23.8,UFA,MIA,POR,2,18978900,9489450,18978900,2020,2019,2018,1 ,1 ,,-0.2,-0.1,,,,
Derrick Walton Jr.,PG,25.6,UFA,DET,PHI,1,1620564,1620564,1620564,2020,2019,2018,1 ,1 ,,2.6,3.1,,,,
Drew Eubanks,C,23.8,RFA,SAS,SAS,3,5294220,1764740,5294220,2020,2019,2018,1 ,1 ,,1.2,2.5,,,,
Dwayne Bacon,SG,25.2,UFA,CHA,ORL,2,3502857,1751429,3502857,2020,2019,2018,1 ,1 ,,1.2,0.4,,,,
Dwight Howard,C,34.9,UFA,LAL,PHI,1,2564753,2564753,2564753,2020,2019,2018,1 ,1 ,,-0.1,0,,,,
Elfrid Payton,PG,26.8,UFA,NYK,NYK,1,4767000,4767000,4767000,2020,2019,2018,1 ,1 ,,-0.1,-0.6,,,,
Frank Jackson,PG,22.6,UFA,NOP,OKC,2,3502857,1751429,3502857,2020,2019,2018,1 ,1 ,,2,0.7,,,,
Frank Kaminsky,C,27.6,UFA,PHX,SAC,1,1882867,1882867,1882867,2020,2019,2018,1 ,1 ,,-0.1,-0.1,,,,
Fred VanVleet,PG,26.7,UFA,TOR,TOR,4,85000000,21250000,85000000,2020,2019,2018,1 ,1 ,,0.6,0.1,,,,
Garrett Temple,SG,34.5,UFA,BKN,CHI,1,4767000,4767000,4767000,2020,2019,2018,1 ,1 ,,0,0.3,,,,
Gary Clark,PF,26.0,RFA,ORL,ORL,2,4100000,2050000,4100000,2020,2019,2018,1 ,1 ,,0,0,,,,
Glenn Robinson III,SF,26.8,UFA,PHI,SAC,1,2028594,2028594,2028594,2020,2019,2018,1 ,1 ,,0,0.8,,,,
Goran Dragic,PG,34.5,UFA,MIA,MIA,1,18000000,18000000,18000000,2020,2019,2018,1 ,1 ,,0.1,0.3,,,,
Gordon Hayward,SF,30.7,UFA,BOS,CHA,4,120000000,30000000,120000000,2020,2019,2018,1 ,1 ,,-0.2,1,,,,
Harry Giles,C,22.6,UFA,SAC,POR,1,1678854,1678854,1678854,2020,2019,2018,1 ,0 ,,0.1,0,,,,
Hassan Whiteside,C,31.4,UFA,POR,SAC,1,2320044,2320044,2320044,2020,2019,2018,1 ,0 ,,0.2,0,,,,
Jae Crowder,SF,30.3,UFA,MIA,PHX,3,29162700,9720900,29162700,2020,2019,2018,1 ,1 ,,0.3,0.2,,,,
Jahlil Okafor,C,24.9,UFA,NOP,DET,2,4012890,2006445,4012890,2020,2019,2018,1 ,1 ,,0.8,0,,,,
JaKarr Sampson,SF,27.7,UFA,IND,IND,1,1882867,1882867,1882867,2020,2019,2018,1 ,1 ,,1.4,0.9,,,,
Jakob Poeltl,C,25.1,RFA,SAS,SAS,3,26250000,8750000,26250000,2020,2019,2018,1 ,1 ,,0.2,0.4,,,,
James Ennis III,SF,30.3,UFA,ORL,ORL,1,3300000,3300000,3300000,2020,2019,2018,1 ,1 ,,-0.3,0,,,,
JaMychal Green,PF,30.4,UFA,LAC,DEN,2,14759508,7379754,14759508,2020,2019,2018,1 ,1 ,,0.3,-0.2,,,,
Jared Dudley,SF,35.3,UFA,LAL,LAL,1,2564753,2564753,2564753,2020,2019,2018,1 ,1 ,,0.2,0.4,,,,
Jeff Green,PF,34.2,UFA,HOU,BKN,1,2564753,2564753,2564753,2020,2019,2018,1 ,1 ,,0.5,0,,,,
Jeff Teague,PG,32.4,UFA,ATL,BOS,1,2564753,2564753,2564753,2020,2019,2018,1 ,1 ,,-0.4,0.5,,,,
Jerami Grant,PF,26.7,UFA,DEN,DET,3,60007500,20002500,60007500,2020,2019,2018,1 ,1 ,,2.1,1.7,,,,
Jerian Grant,PG,28.1,UFA,WAS,HOU,2,4012890,2006445,4012890,2020,2019,2018,1 ,1 ,,-0.1,-0.3,,,,
Jevon Carter,PG,25.2,RFA,PHX,PHX,3,11500000,3833333,11500000,2020,2019,2018,1 ,1 ,,0,0.1,,,,
Joe Harris,SG,29.2,UFA,BKN,BKN,4,75000000,18750000,75000000,2020,2019,2018,1 ,1 ,,0.8,1,,,,
John Konchar,SG,24.7,RFA,MEM,MEM,4,9000000,2250000,9000000,2020,2019,2018,0 ,1 ,,0,0.4,,,,
Jontay Porter,PF,21.0,RFA,MEM,MEM,3,5850000,1950000,5850000,2020,2019,2018,1 ,1 ,,0.9,1,,,,
Jordan Clarkson,SG,28.4,UFA,UTH,UTH,4,51520000,12880000,51520000,2020,2019,2018,1 ,1 ,,1.6,1.8,,,,
