Unnamed: 0,PLAYER,Unnamed: 2,Real Salary,Year,New Player Name,Count Records,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Player-additional
,,,,2022,Javonte Smart,1.0,Javonte Smart,PG,22.0,TOT,17.0,200.0,5.1,0.407,0.45,0.1,2.7,10.0,6.5,10.4,1.5,1.5,14.9,15.9,-0.3,0.2,-0.2,-0.038,-5.9,-0.8,-6.6,-0.2,smartja01
,,,,2019,Jawun Evans,1.0,Jawun Evans,PG,22.0,TOT,8.0,65.0,0.1,0.214,0.214,0.0,1.7,19.0,10.2,19.7,2.2,0.0,30.0,13.2,-0.2,0.0,-0.2,-0.151,-10.4,0.1,-10.3,-0.1,evansja01
,,,,2020,Jaxson Hayes,1.0,Jaxson Hayes,C,19.0,NOP,64.0,1080.0,17.6,0.689,0.015,0.734,9.5,16.0,12.7,7.2,1.1,4.3,13.4,15.0,2.8,1.1,3.9,0.171,-0.9,0.6,-0.3,0.5,hayesja02
,,,,2021,Jaxson Hayes,1.0,Jaxson Hayes,C,20.0,NOP,60.0,964.0,19.1,0.675,0.05,0.429,10.4,18.6,14.5,5.2,1.2,3.7,10.5,16.2,2.6,1.0,3.5,0.176,0.6,0,0.6,0.6,hayesja02
,,,,2022,Jaxson Hayes,1.0,Jaxson Hayes,C,21.0,NOP,70.0,1398.0,18.5,0.68,0.143,0.472,8.9,16.2,12.5,4.7,1.2,3.8,10.1,16.4,3.7,1.3,5.1,0.174,0.6,-0.3,0.2,0.8,hayesja02
,,,,2022,Jay Huff,1.0,Jay Huff,C,23.0,LAL,4.0,20.0,0.6,0.0,0.667,0.0,5.4,16.1,10.8,5.9,2.4,4.5,25.0,8.6,-0.1,0.0,0.0,-0.117,-8.3,0.9,-7.4,0.0,huffja01
,,,,2021,Jay Scrubb,1.0,Jay Scrubb,SG,20.0,LAC,4.0,84.0,6.3,0.458,0.25,0.139,2.8,15.6,9.4,1.7,2.4,0.0,15.5,23.8,-0.2,0.1,-0.1,-0.072,-8.1,-2.8,-10.9,-0.2,scrubja01
,,,,2022,Jay Scrubb,1.0,Jay Scrubb,SG,21.0,LAC,18.0,121.0,9.3,0.486,0.457,0.217,1.8,11.9,7.0,9.7,1.6,2.1,12.2,20.8,-0.1,0.1,0.0,0.002,-4.4,-0.4,-4.8,-0.1,scrubja01
,,,,2019,Jaylen Adams,1.0,Jaylen Adams,PG,22.0,ATL,34.0,428.0,7.6,0.474,0.673,0.082,2.6,12.3,7.4,19.8,1.5,1.0,19.7,13.5,-0.1,0.2,0.1,0.011,-3.8,-0.5,-4.3,-0.2,adamsja01
,,,,2021,Jaylen Adams,1.0,Jaylen Adams,PG,24.0,MIL,7.0,18.0,-6.5,0.125,0.25,0.0,0.0,16.9,8.8,12.7,0.0,0.0,0.0,18.6,-0.1,0.0,-0.1,-0.252,-15.1,-4.6,-19.8,-0.1,adamsja01
,,,,2019,Jaylen Brown,1.0,Jaylen Brown,SG,22.0,BOS,74.0,1913.0,13.5,0.547,0.348,0.255,3.6,13.9,8.7,7.7,1.7,1.5,10.1,22.1,0.7,2.4,3.0,0.076,-1.6,-0.4,-2.1,0.0,brownja02
,,,,2020,Jaylen Brown,1.0,Jaylen Brown,SG,23.0,BOS,57.0,1934.0,16.9,0.583,0.381,0.274,3.5,16.5,10.1,9.7,1.6,1.0,11.2,24.7,2.3,2.6,4.9,0.123,1.0,-0.2,0.8,1.4,brownja02
,,,,2021,Jaylen Brown,1.0,Jaylen Brown,SG,24.0,BOS,58.0,1999.0,19.9,0.586,0.37,0.225,3.9,15.5,9.7,16.5,1.8,1.5,11.5,29.7,2.8,2.0,4.8,0.115,3.2,-0.7,2.5,2.3,brownja02
,,,,2022,Jaylen Brown,1.0,Jaylen Brown,SF,25.0,BOS,66.0,2220.0,18.9,0.574,0.381,0.261,2.6,16.7,9.8,17.9,1.6,0.7,11.6,30.5,2.3,3.4,5.8,0.124,1.9,0.1,2.1,2.2,brownja02
,,,,2020,Jaylen Hoard,1.0,Jaylen Hoard,PF,20.0,POR,13.0,103.0,14.9,0.504,0.094,0.406,14.4,18.1,16.2,5.3,2.3,0.0,9.6,17.2,0.1,0.1,0.2,0.093,-0.8,-1.3,-2.1,0.0,hoardja01
,,,,2021,Jaylen Hoard,1.0,Jaylen Hoard,SF,21.0,OKC,19.0,320.0,13.4,0.547,0.125,0.466,6.7,14.5,10.6,11.2,1.9,1.4,13.8,16.3,0.2,0.3,0.5,0.07,-2.2,-0.3,-2.5,0.0,hoardja01
,,,,2022,Jaylen Hoard,1.0,Jaylen Hoard,SF,22.0,OKC,7.0,240.0,18.0,0.536,0.278,0.156,12.7,23.5,18.0,11.6,1.2,1.9,7.7,18.7,0.3,0.3,0.6,0.118,1.2,-2.1,-0.9,0.1,hoardja01
,,,,2019,Jaylen Morris,1.0,Jaylen Morris,SG,23.0,MIL,4.0,29.0,12.2,0.46,0.3,0.2,0.0,16.5,8.8,18.1,3.2,0.0,8.4,17.2,0.0,0.1,0.1,0.084,-3.7,3.3,-0.4,0.0,morrija01
,,,,2022,Jaylen Morris,1.0,Jaylen Morris,SG,26.0,SAS,3.0,16.0,-11.4,0.129,0.333,0.667,0.0,13.2,6.6,14.0,0.0,0.0,11.4,23.1,-0.1,0.0,-0.1,-0.376,-15.8,-5.7,-21.5,-0.1,morrija01
,,,,2020,Jaylen Nowell,1.0,Jaylen Nowell,SG,20.0,MIN,15.0,151.0,10.5,0.471,0.491,0.321,2.0,7.3,4.5,17.8,0.9,0.6,4.7,17.3,0.1,0.0,0.2,0.051,-2.9,-0.8,-3.8,-0.1,nowelja01
