RK,Player,2020/21,2020/21(*)
511,Nate Hinton,449115,516211
511,Tyler Bey,449115,516211
511,Marques Bolden,449115,516211
511,Adam Mokoka,449115,516211
511,Devon Dotson,449115,516211
511,Nate Darling,449115,516211
511,Grant Riller,449115,516211
511,Chris Chiozza,449115,516211
533,Yogi Ferrell,444149,510503
534,Noah Vonleh,427725,491625
535,Mason Jones,424544,487968
536,Brodric Thomas,412202,473783
537,Andre Roberson,411639,473136
538,Donta Hall,376276,432490
539,Brian Bowen,375321,431392
540,Anzejs Pasecniks,374297,430215
541,Freddie Gillespie,363015,417248
542,AJ Hammons,350087,402388
543,Karim Mane,344557,396032
544,Will Magnay,341481,392497
545,Greg Whittington,332252,381889
546,Raymond Spalding,289156,332354
547,Chasson Randle,279927,321747
548,Justin Patton,267623,307604
549,Gary Payton II,249864,287192
550,Mike James,237648,273151
551,Charlie Brown,217844,250389
552,Anthony Lamb,215330,247499
553,Justin Robinson,198040,227626
554,Axel Toupane,196872,226284
555,Henry Ellenson,168983,194228
556,Ashton Hagans,166111,190927
557,Isaiah Thomas,159698,183556
558,John Henson,158907,182647
559,Armoni Brooks,135362,155584
560,Jordan Bone,135350,155570
561,Jaylen Hoard,129209,148512
562,Justin Anderson,125000,143674
563,Didi Louzada,123056,141440
563,Amida Brimah,123056,141440
565,Troy Williams,122741,141078
566,James Nunnally,107674,123760
567,Demetrius Jackson,92857,106729
568,Dakota Mathias,86132,98999
569,Malik Fitts,61528,70720
570,Jeremiah Martin,58452,67184
571,Jerian Grant,50000,57469
572,Louis King,49222,56575
573,Cameron Oliver,43070,49504
574,Cam Reynolds,33299,38273
575,Andrew White,25000,28734
575,Tyler Hall,25000,28734
577,Elijah Bryant,24611,28287
578,Caleb Homesley,20000,22987
577,Norvel Pelle,192,209
580,Reggie Perry,188,205
581,Devin Cannady,186,202
582,Brandon Williams,181,197
583,DeJon Jarreau,173,188
583,Moses Wright,173,188
585,Matt Mooney,171,187
585,Dakota Mathias,171,187
587,Daulton Hommes,168,183
588,Grant Riller,162,177
589,Lindy Waters III,160,174
590,Anthony Tolliver,152,166
590,Darren Collison,152,166
590,Ersan Ilyasova,152,166
590,Joe Johnson,152,166
590,CJ Miles,152,166
595,Chaundee Brown,152,165
596,Xavier Sneed,146,159
597,Mario Chalmers,138,151
598,Anthony Lamb,136,148
599,Braxton Key,128,139
600,Troy Williams,123,134
601,Feron Hunt,117,128
602,Mac McClung,112,122
603,Matt Ryan,112,122
604,Emmanuel Mudiay,111,122
605,Carlik Jones,106,116
605,Paris Bass,106,116
605,Hassani Gravett,106,116
608,Cheick Diallo,103,112
608,Jordan Bell,103,112
610,DJ Stewart,101,110
611,Nate Hinton,96,105
612,Jaylen Morris,96,105
612,BJ Johnson,96,105
612,Scotty Hopson,96,105
612,Justin James,96,105
612,DaQuan Jeffries,96,105
612,Derrick Walton,96,105
618,Demetrius Jackson,93,101
619,Emanuel Terry,86,93
619,Jemerrio Jones,86,93
619,George King,86,93
619,Malik Newman,86,93
619,Chris Clemons,86,93
619,Cameron Oliver,86,93
625,Jared Harper,85,93
626,Gabriel Lundberg,80,87
627,Jaime Echenique,53,58
627,Craig Sword,53,58
627,Jordan Goodwin,53,58
627,Jordan Schakel,53,58
627,Ade Murkey,53,58
627,Jarron Cumberland,53,58
627,Cameron McGriff,53,58
627,MJ Walker,53,58
627,Aleem Ford,53,58
627,Rob Edwards,53,58
627,Tyler Hall,53,58
627,Javin DeLaurier,53,58
627,Aric Holman,53,58
627,Jon Teske,53,58
627,Shaq Buchanan,53,58
627,Ahmad Caver,53,58
627,Jaysean Paige,53,58
627,Micah Potter,53,58
627,Trayvon Palmer,53,58
627,Tre Scott,53,58
627,Justin Tillman,53,58
627,Malik Ellison,53,58
627,Anthony Barber,53,58
650,Luca Vildoza,43,47
651,Zavier Simpson,37,41
652,Mfiondu Kabengele,19,21
653,Melvin Frazier,13,
